3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,3GQMY117,BSR9Y117,CRHY117,DGJ5Y117,GQ2T10Y117,INF11Y117,IPSK8Y117,NQ1T6Y117,OK_Y117,ZUM7Y117,ZUTY117,"Rolling mean, w=40","Rolling mean, w=10","Weighted rolling mean, a=0.05",,
53,122,64,357,123,268,52,653,51,1184,76,2,1,9,7,44,25,5,20,4,48,10,51.65,53.1,50.40113544,0.06,
63,133,63,454,119,251,56,674,45,1189,73,10,11,1,97,4,17,4,21,6,5,3,51.65,54.3,51.15706732,0.06,
70,134,46,557,110,232,60,666,50,1217,76,7,1,17,103,9,19,4,8,5,28,3,51.875,56.4,52.28764328,0.06,
76,127,43,634,111,197,66,694,52,1215,79,6,7,3,77,1,35,6,28,2,2,3,52.3,59.3,53.71038468,0.06,
77,123,50,723,111,178,58,731,64,1264,82,1,4,7,89,0,19,8,37,12,49,3,52.525,61.7,55.1077616,0.06,
85,124,49,761,97,164,54,774,56,1538,73,8,1,1,38,14,14,4,43,8,274,9,53.1,64.3,56.9012959,0.06,
83,116,66,780,100,164,52,786,45,2644,69,2,8,17,19,3,0,2,12,11,1106,4,53.7,66.6,58.46721815,0.06,
88,108,77,772,90,180,61,800,67,3763,75,5,8,11,8,10,16,9,14,22,1119,6,54.6,69.5,60.23918506,0.06,
101,98,75,879,84,170,63,801,59,5321,75,13,10,2,107,6,10,2,1,8,1558,0,55.625,74.7,62.68483396,0.06,
102,89,67,1191,100,165,63,781,64,5431,69,1,9,8,312,16,5,0,20,5,110,6,56.85,79.8,65.04374392,0.06,
111,92,64,1321,81,182,53,754,65,5917,76,9,3,3,130,19,17,10,27,1,486,7,58.425,85.6,67.80111928,0.06,
137,99,68,1526,85,172,59,804,67,5993,64,26,7,4,205,4,10,6,50,2,76,12,60.6,93,71.95305213,0.06,
141,90,66,1637,73,170,54,943,63,5822,68,4,9,2,111,12,2,5,139,4,171,4,63.075,100.1,76.095869,0.06,
